# World Bank WDI — innovation/capability, latest non-empty value per country (mrnev).
iso3,country,rd_pct_gdp,researchers_per_m,patents_resident,hitech_exports_pct
MAR,Morocco,0.66,1083,254,5.43
MOZ,Mozambique,0.31,44.41,30,3.63
MMR,Myanmar,0.02,28.01,,5.2
NAM,Namibia,0.65,225,8,0.12
NPL,Nepal,0.3,59.66,20,0.62
NLD,Netherlands,2.27,6563,2080,23.47
NZL,New Zealand,1.55,5435,330,12.97
NIC,Nicaragua,0.11,71.27,1,0.6
NGA,Nigeria,0.28,22.12,410,2.71
MKD,North Macedonia,0.37,888,42,6.36
NOR,Norway,1.85,7451,946,25.41
OMN,Oman,0.39,739,30,5.01
PAK,Pakistan,0.16,474,426,2.44
PAN,Panama,0.2,250,35,1.77
PNG,Papua New Guinea,0.03,33.16,1,10.25
PRY,Paraguay,0.14,139,10,10.5
PER,Peru,0.18,,94,5.21
PHL,Philippines,0.28,320,490,60.98
POL,Poland,1.56,3675,3377,13.51
PRT,Portugal,1.69,5983,711,6.77
PRI,Puerto Rico (US),0.43,332,,
QAT,Qatar,0.68,948,47,2.81
ROU,Romania,0.52,1082,772,13.45
RUS,Russian Federation,0.94,2639,19569,9.73
RWA,Rwanda,0.78,133,14,4.78
SAU,Saudi Arabia,0.64,1235,1398,0.54
SEN,Senegal,0.58,572,,3.04
SRB,Serbia,0.94,2688,138,4.55
SYC,Seychelles,0.2,147,3,0.09
SGP,Singapore,1.81,8782,2024,59.43
SVK,Slovak Republic,1.03,3507,146,10.59
SVN,Slovenia,2.13,5616,222,8.34
ZAF,South Africa,0.61,444,1804,5.71
ESP,Spain,1.49,3654,1308,9.28
LKA,Sri Lanka,0.11,94.49,266,1.54
LCA,St. Lucia,0.27,,2,9.33
VCT,St. Vincent and the Grenadines,0.11,,,4.93
SDN,Sudan,0.23,,153,2.2
SWE,Sweden,3.6,8911,1771,17.65
CHE,Switzerland,3.22,6108,1288,29.62
SYR,Syrian Arab Republic,0.04,140,102,1.38
TJK,Tajikistan,0.09,,1,15.21
TZA,Tanzania,0.51,19.32,1,3.01
THA,Thailand,0.94,1592,867,28.31
TGO,Togo,0.22,57.79,,0.68
TTO,Trinidad and Tobago,0.05,493,2,0.22
TUN,Tunisia,0.75,1668,180,7.7
TUR,Turkiye,1.42,2645,8234,5.14
TKM,Turkmenistan,0.09,,44,
UGA,Uganda,0.44,81.31,14,1.92
UKR,Ukraine,0.37,586,1302,6.37
ARE,United Arab Emirates,1.49,2607,69,8.96
GBR,United Kingdom,2.68,4473,11592,29.23
USA,United States,3.45,4937,262244,24.32
URY,Uruguay,0.7,938,23,9.84
UZB,Uzbekistan,0.1,640,413,1.73
VEN,Venezuela  RB,0.34,180,96,
VNM,Viet Nam,0.41,836,1066,44.26
VIR,Virgin Islands (U.S.),0.03,,,
PSE,West Bank and Gaza,0.45,584,,1.84
ZMB,Zambia,0.28,41.9,13,1.47
DOM,Dominican Republic,,20.04,7,7.69
NER,Niger,,26.94,,8.62
ZWE,Zimbabwe,,95.13,8,2.8
ATG,Antigua and Barbuda,,,5,0
ABW,Aruba,,,1,6.87
BHS,Bahamas  The,,,4,0
BGD,Bangladesh,,,74,0.54
BRB,Barbados,,,73,19.93
BLZ,Belize,,,1,0
DJI,Djibouti,,,3,3.28
FJI,Fiji,,,2,3
GUY,Guyana,,,40,13.33
HTI,Haiti,,,2,
PRK,Korea  Dem. People's Rep.,,,6937,
LBN,Lebanon,,,110,2.9
LBR,Liberia,,,14,0.64
LBY,Libya,,,12,0.6
WSM,Samoa,,,1,76.67
SMR,San Marino,,,7,
SOM,Somalia  Fed. Rep.,,,1,
YEM,Yemen  Rep.,,,20,4.83
CSS,Caribbean small states,,,,0
HPC,Heavily indebted poor countries (HIPC),,,,2.87
IDX,IDA only,,,,4.03
IDA,IDA total,,,,3.52
LDC,Least developed countries: UN classification,,,,7.93
PSS,Pacific island small states,,,,10.36
AFG,Afghanistan,,,,0
BEN,Benin,,,,30.54
CMR,Cameroon,,,,2.1
CYM,Cayman Islands,,,,85.52
