# National electricity demand (TWh). Source: Our World in Data / Ember. Latest year per country.
iso3,country,elec_demand_twh,year
SPM,Saint Pierre and Miquelon,0.1,2023
VCT,Saint Vincent and the Grenadines,0.1,2024
WSM,Samoa,0.2,2024
STP,Sao Tome and Principe,0.1,2023
SAU,Saudi Arabia,454.6,2024
SEN,Senegal,8.1,2024
SRB,Serbia,37.4,2025
SYC,Seychelles,0.6,2024
SLE,Sierra Leone,0.2,2024
SGP,Singapore,60.4,2025
SVK,Slovakia,26.8,2025
SVN,Slovenia,14.3,2025
SLB,Solomon Islands,0.1,2024
SOM,Somalia,0.4,2024
ZAF,South Africa,236.8,2025
KOR,South Korea,624.7,2025
SSD,South Sudan,0.6,2024
ESP,Spain,275.1,2025
LKA,Sri Lanka,17.3,2025
SDN,Sudan,15.6,2024
SUR,Suriname,1.7,2024
SWE,Sweden,137.1,2025
CHE,Switzerland,65.1,2025
SYR,Syria,24.3,2024
TWN,Taiwan,288.4,2025
TJK,Tajikistan,19.5,2025
TZA,Tanzania,9.0,2024
THA,Thailand,225.1,2025
TGO,Togo,2.2,2024
TON,Tonga,0.1,2024
TTO,Trinidad and Tobago,9.6,2024
TUN,Tunisia,24.9,2025
TUR,Turkey,351.9,2025
TKM,Turkmenistan,24.0,2024
TCA,Turks and Caicos Islands,0.3,2024
UGA,Uganda,5.4,2024
UKR,Ukraine,111.6,2022
ARE,United Arab Emirates,177.0,2024
GBR,United Kingdom,321.4,2025
USA,United States,4535.8,2025
VIR,United States Virgin Islands,0.7,2023
URY,Uruguay,14.8,2025
UZB,Uzbekistan,89.6,2025
VUT,Vanuatu,0.1,2023
VEN,Venezuela,80.1,2024
VNM,Vietnam,313.6,2025
ESH,Western Sahara,0.1,2009
YEM,Yemen,5.3,2024
ZMB,Zambia,16.6,2024
ZWE,Zimbabwe,12.1,2024
